"id","name","category","subcategory","description","price","image_url","in_stock","created_at","updated_at","brand","series","material","features","specifications","dimensions","weight","color","model","sku"
"135","Luminary","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-148",
"136","Aurora","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-149",
"137","Lighthouse","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-150",
"138","Nexus","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-151",
"139","Kestrel","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-152",
"140","Fusion","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-153",
"141","Spectrum","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-154",
"142","Harmony","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-155",
"143","Essence","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-201",
"144","Essence","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-202",
"145","Pinnacle","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-203",
"146","Pinnacle","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-204",
"147","Legacy","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-205",
"148","Legacy","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-206",
"149","Majestic","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-207",
"150","Regal","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-208",
"151","Prestige","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-209",
"152","Herderite","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-210",
"153","Opulence","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-211",
"154","Imperial","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-212",
"155","Magnate","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-213",
"156","Magnate","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-214",
"157","Grand","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-215",
"158","Grand","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-216",
"159","Crown","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-217",
"160","Crown","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-218",
"161","Crown","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-219",
"162","Vanguard","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-220",
"163","Noble","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-221",
"164","Dynasty","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-222",
"165","Triumph","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-223",
"166","Classic","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-224",
"167","Aether","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-225",
"168","Radiant","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-226",
"169","Prime","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-227",
"170","Aspire","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-228",
"171","Grossular","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-229",
"172","Unakite","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-230",
"173","Emerald","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-231",
"174","Meridian","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-232",
"175","Solaris","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-233",
"176","Fuchsite","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-234",
"177","Citrine","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-235",
"178","Tanzanite","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-236",
"179","Opal","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-237",
"180","Topaz","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-238",
"181","Pearl","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-239",
"182","Pearl","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-240",
"183","Pearl","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-241",
"184","Jade","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-242",
"185","Jade","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-243",
"186","Quartz","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-244",
"187","Quartz","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-245",
"188","Zircon","Uncategorized","",,,,"true",2025-07-27T08:20:25.652Z,2025-07-27T08:20:25.652Z,,,,,,,,,"M-246",
"189","Carnelian","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-247",
"190","Agate","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-248",
"191","Agate","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-249",
"192","Morganite","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-250",
"193","Serpentine","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-251",
"194","Sunstone","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-252",
"195","Sodalite","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-253",
"196","Tiger’s Eye","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-254",
"197","Galaxy","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-301",
"198","Galaxy","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-302",
"199","Comet","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-303",
"200","Comet","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-304",
"201","Asteroid","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-305",
"202","Pulsar","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-306",
"203","Quasar","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-307",
"204","Supernova","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-308",
"205","Black Hole","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-309",
"206","Black Hole","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-310",
"207","Nebula","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-311",
"208","Nebula","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-312",
"209","Meteor","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-313",
"210","Meteor","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-314",
"211","Venus","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-315",
"212","Venus","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-316",
"213","Venus","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-317",
"214","Saturn","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-318",
"215","Uranus","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-319",
"216","Neptune","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-320",
"217","Pluto","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-321",
"218","Mercury","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-322",
"219","Jupitor","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-323",
"220","Orion","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-324",
"221","Orion","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-325",
"222","Ursa","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-326",
"223","Ursa","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-327",
"224","Draco","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-328",
"225","Draco","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-329",
"226","Phoenix","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-330",
"227","Hydra","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-331",
"228","Centaurus","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-332",
"229","Centaurus","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-333",
"230","Lyra","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-334",
"231","Lyra","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-335",
"232","Taurus","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-336",
"233","Libra","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-337",
"234","Scorpio","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-338",
"235","Sagittarius","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-339",
"236","Sagittarius","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-340",
"237","Capricorn","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-341",
"238","Capricorn","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-342",
"239","Pisces","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-343",
"240","Pisces","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-344",
"241","Gemini","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-345",
"242","Gemini","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-346",
"243","Divine Pen 1","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-401",
"244","Divine Pen 2","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-402",
"245","Divine Pen 3","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-403",
"246","Divine Pen 4","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-404",
"247","Doctor Pen 1","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-405",
"248","Doctor Pen 2","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-406",
"249","Doctor Pen 3","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-407",
"250","Marble Pen 1","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-408",
"251","Marble Pen 2","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-409",
"252","Wooden Pen 1","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-410",
"253","Wooden Pen 2","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-411",
"254","Wooden Pen 3","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-412",
"255","Wooden Pen 4","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-413",
"256","Wooden Pen 5","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-414",
"257","Wooden Pen 6","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-415",
"258","Chromatic Range","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-416",
"259","Chromatic Range","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-417",
"260","Chromatic Range","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-418",
"261","Chromatic Range","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-419",
"262","Chromatic Range","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-420",
"263","Chromatic Range","Uncategorized","",,,,"true",2025-07-27T08:20:25.653Z,2025-07-27T08:20:25.653Z,,,,,,,,,"M-421",
"264","Urinal Screen Deodorizer Mat","Urinal Screen Deodorizer Mats","","Durable, non-slip urinal screen mat designed to fit in urinals, trap debris, prevent clogs, and release a fresh fragrance to maintain restroom cleanliness and hygiene. Especially suited for high-traffic public restrooms.",,,"true",2025-07-27T08:20:25.678Z,2025-07-27T08:20:25.678Z,,,,"Traps debris, prevents clogs, Fresh and clean scent (lemon, orange, rose, ocean), Multi-colour, standard size, Flexible to fit all urinals, Anti-splash design, Controls restroom odor",,,,,,
